row,name,barcode
10665,5060220402522,5060220402522
24137,8690504113249,8690504113249
24248,8901491002486,8901491002486
24281,8901725015015,8901725015015
24345,8908010213095,8908010213095
29571,8908002984491,8908002984491
41439,4062139008803,4062139008803
65999,8906002006601,8906002006601
