row,name,brand,pattern
6985,FIRE PIT Exclusively Tesco 2 SALT & Pepper BEEF ST,Tesco,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
7008,US US Kiddylicious 12+ It's Delicious Months Straw,Kiddylicious,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
7014,WALK AN Gruny DO FOR Goodness Shakes 35 Protein SA,For Goodness Shakes,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
7025,TUNA AND Mayonnaise,,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
7066,FREE FROM Chocolate & Vanilla Cheeseecakes,Gü,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
7334,OLD GOLD Dark Chocolate OLD Jamaica RUM N Raisin,Cadbury,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
7847,M&S -food- MAIN Curated Ingredients Carder 434 Ita,M&S,-food-
7871,M&S -food- Stuffed Handcrafted VINE Leaves With: R,M&S,-food-
7874,M&S -food- Topped Ploughman's DIP Gushmans ILM EGG,M&S,-food-
8877,FREE FROM CHOC Coated Honeycomb,Tesco,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
8958,LEAN HAM ON THE BONE,Tesco,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
8970,HIGH IN Protein Tesco Braised BEEF & MASH MEAL FOR,Tesco,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
9206,GER M&S -food- MADE Without - Wheat- Gluten FREE C,M&S,-food-
9241,Saiss Swiss SWI DARK Chocolate Marks -food- CHOC P,M&S,-food-
9391,WIN GUMS By Sainsbury's Saturates Takes CAL Satur,Saintsbury'S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
9452,M&S -food- MADE Without - Wheat- Gluten FREE 4 MIL,M&S,-food-
9561,PULL HERE TO Release THE Freshness Serves 1-this P,M&S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
9641,2 BBQ Sweet Potato Burgers,Veggie Menu,^[0-9]+ [A-Z]{2}
9664,FREE FROM Gluten FREE MILK FREE Bourbon Creams Cru,Aldi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
9846,BANG BANG RICE,Worldwide Foods,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
9906,SEC NEW Airfr Birds Eye Crispsy Wedges Huffy & Deli,Birds Eye,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
10027,Serving Contains Saturates Sugars Bigger Salt 10 0,Hula Hoops,^Serving Contains
10028,NAC NAKS NICE 'N' Spicy Flavour Each 30g Serving C,Nice N Spicy,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
