row,name,brand,reason
36408,Munchies Peanut Butter Sandwich Crackers 1.42 Ounc,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36411,"Brittle Nut Medley, Honey Roasted Peanuts, Yogurt ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36414,Authentic Pierogi Potato & Cheese,Severino,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36416,Aunt Jemima Original Pancake & Waffle Mix 1 Pound ,Aunt Jemima,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36417,The Original Pancake & Waffle Mix Pound Box,Aunt Jemima,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36418,Streusel Coffee Cake,Giant Eagle,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36419,Mini Homestyle Waffles,Giant Eagle,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36428,6.25 Oz Pizza Meal,Banquet,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36436,"Banquet Slow Cooker Chicken And Dumpling, 41.5 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36446,"Banquet Homestyle Grilled Patty, 8 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36449,"Banquet Salisbury Deep Dish Dinnerr, 7 OZ",Banquet,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36453,"Bertolli Lasagna, 34 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36455,PF Changs Grilled Chicken Teriyaki With Lo Mein No,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36460,"Bertolli Manicotti Alla Vodka, 24 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36461,"Bertolli Four Cheese Ravioli, 24 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36462,"Bertolli Ricotta And Spinach Cannelloni, 11.1 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36463,"Bertolli Italian Sausage And Meatball Rigatoni, 10",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36464,"Bertolli Stuffed Shells Alla Vodka, 10.6 OZ",Bertolli,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36483,Bunuela Chips,My Nana'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36486,Apple Turnover,Bob & Kurt'S Sentry,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36487,Sliced Loaf Cake,Best Brands Corp.,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36512,Cajun Gumbo & Rice Entree Mix,Louisiana Fish Fry Ltd.,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36513,Greek Style Pita 12 Flat Bread,Papa Pita,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36514,Hamburger Enriched Buns,Great Grains Bakery,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36516,Greek Pita,Papa Pita,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36525,Wheat Dinnerr Rolls,The Cheesecake Factory,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36528,Fudgy Brownie Baking Mix,Bob'S Red Mill,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36536,Cheese Crackers,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36544,Wheat Bite Size Crackers,H-E-B,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36555,Chicken Noodle,H-E-B,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36560,Flour Tortilla,Heb,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36563,Pasta & Cheese Sauce Mix,Hill Country Fare,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36571,Pretzels Honey Wheat,H-E-B,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36573,Essential Grains Oat &Nut Bread,H-E-B,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36577,Cinnamon Crunch Muffins,Meijer  Inc.,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36581,Waffles,Essential Everyday,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36582,Schnucks Peanut Butter Filled Pretzels,Schnucks,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36583,Pop Corn Shrimp,Sea Pak,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36591,Homestyle Waffles,Springfield,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36592,Bakery Creme Cake,Publix Super Markets  Inc.,US brand detected: publix
36593,Wheat Crackers,Greenwise,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36595,Cookies And Cream Ice Cream,Publix,US brand detected: publix
36596,Milk Chocolate Covered Peanut Butter Pretzels,Publix,US brand detected: publix
36597,Deli Chicken With Rice & Broccoli,Publix,US brand detected: publix
36599,Buttermilk Complete Pancake Mix,Krusteaz,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36601,Classic Italian Bread,Weis Quality,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36602,Brick Oven Style Pizza,Weis,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36603,Oven Rising Pizza Four Cheese,Weis Quality,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36604,Oven Rising Pizza Pepperoni,Weis,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36605,Wheat,First Street,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36606,Loaf Cake,Smith'S Food & Drug Centers Inc.,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36607,Celentano 4 Cheese Ravioli,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36616,Utz Peanut Butter Filled Pretzel Bites,Ute,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36624,Cheese Nips Crackers 1x11 Oz,Nabisco,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36625,Cheese Nips Crackers 1x,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36628,Chow Mein Noodles,La Choy,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36629,Chow Mein Noodles,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36630,"Lachoy Chow Mein Noodles, 3 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36633,Mozzarella & Pepperoni Protein PACK,Lunchables,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36651,Party Pizza,Me Too!,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36657,Golden Delight Crackers,Ducales,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36658,Pink Salmon Kit,Chicken Of The Sea,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36662,Yogurt-covered Pretzels,Nice,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36668,Pretzel Chips,Snack Factory,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36675,Detroit-style Deep Dish Double Pepperoni Pizza,Rich'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36681,Healthy Choice Microwaveable Chicken Tortilla Soup,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36690,"Healthy Choice Chicken Tortilla Soup, 15 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36696,Peanut Butter & Grape Jelly Sandwich,Smucker'S Uncrustables,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36697,Uncrustable Bright-eyed Berry,Smucker'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36698,Ice Cream Cups,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36703,Grace Soup Mix,Grace,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36742,Sourdough Pizza Starter Kit,Gino Bambino,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36829,Individual Pizza Crust,Our Family,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36831,Pretzels,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36833,White Bread,Winco Foods,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36834,Honey Oat Premium Bread,Winco Foods,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36835,Winco Multi-seed Bread,Winco Foods,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36838,Pretzel Sticks,Winco Foods,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36845,Pepperoni Rising Crust Pizza,Tops,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36849,Junior Sub Rolls,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36854,Brown 'N Serve Family Style Dinnerr Rolls,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36856,Pierre Signatures Angus Cheeseeburger,Pierre Signatures,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36857,Big AZ Country Fried Chicken,Big Taz,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36863,Soy Spread PBJ,Albies Wowbutter E.Z. Jammers,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36864,Rising Crust Original Four Cheese,Digiorno,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36867,Bread,La Brea Bakery,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36868,Pork Egg Roll,Pagoda,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36869,White Bread,1906,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36872,Brioche Buns,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36873,Organic Hot Dog Buns,Naked Bread,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36875,Franz Nine Grain Bread,Franz,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36880,Chicken Margherita With Balsamic,Healthy Choice,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36883,"Healthy Choice Chicken Margarita Cafe Steamers, 40",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36886,"Healhty Choice Four Cheese Pasta Bake, 9.2 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36893,Charcuterie Snack Tray Genoa Salame,Columbus,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36895,Mini Croissants,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36896,Soft Pretzel With Cheddar Cheese Filling And Toppi,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36899,Original Hawaiian Sweet Rolls,King'S Hawaiian,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36903,All Purpose Baking Mix,Loretta,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36905,Stone Ground Whole Wheat Bread,Joseph'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36906,Whole Wheat Jumbo Bagels,Aladdin Bakers,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36913,Plain Bagels,Western Bagel,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36923,Lance Whole Grain Sandwich Crackers (peanut Butter,Lance Whole Grain,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36935,Its It,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36936,Petite Quiche Florentine,Nancy'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36942,Hummus,Wegmans,US brand detected: wegmans
36943,Lemon Dill Hummus,Wegmans,US brand detected: wegmans
36944,Peanut Butter Filled Pretzel Nuggets,Wegmans,US brand detected: wegmans
36944,Peanut Butter Filled Pretzel Nuggets,Wegmans,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36945,Roasted Vegetable Ravioli,Wegmans,US brand detected: wegmans
36946,Maple Almond Butter,Wegmans,US brand detected: wegmans
36947,Spinach Ravioli With Mushrooms,Wegmans Organic,US brand detected: wegmans
36950,Mini Pretzels,Snyder'S Of Hanover,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36951,Hot Buffalo Wing Pieces,Snyder'S Of Hanover,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36952,Mandarin Orange Chicken,Crazy Cuisine,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36954,Sea Salt Pita Crackers,Great Value,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36955,Pita Chips Sea Salt,Great Value,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36956,Croutons Garlic & Butter Seasoned,Great Value,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36960,Unsalted Saltine Crackers,Wal-Mart Stores  Inc.,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36971,Lunch-to-go Seasoned Tuna Kit,Starkist,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36972,Cinnamon Raisin Bagels,Elie Baking Corp,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
36979,Ramona’s Burritos Potato And Beef,Ramona’S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37010,"Stuffed Cheese Shells In Marinara - 18 Per Tray, 8",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37013,Mini Thin & Crispsy Chocolate Chip Cookies,Kirkland,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37021,Everything Bagel,Kirkland,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37028,Original Pretzel Flats,Great Value,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37037,Bread,Great Value,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37038,Hamburger Rolls,Great Value,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37044,Everything Bagel,Members Mark,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37045,Sourdough,Giant,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37046,Angus Beef Cheeseeburger,Oven Pride,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37055,Braum’s Sourdough Bread,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37065,Milton's Craft Baker,Milton’S Baking,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37069,Marie Callender's Ready To Bake,Marie Callender'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37070,Pumpkin Pie,Marie Callender'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37071,Frozen Pie Dessert,Marie Callendar'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37072,"Marie Callender's Frozen Pie Dessert, Verry Berry,",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37073,Extra Flaky Crust Made From Scratch Lattice Peach ,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37074,"Marie Callender's Frozen Pie Dessert, Blueberry, 3",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37075,"Marie Callenders Strawberry Rhubarb Pie, 37 Oz",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37077,"Marie Callender's Frozen Pie Dessert, Dutch Apple,",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37078,"Marie Callender's Frozen Pie Dessert, Cherry Crunc",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37079,Apple Crumb Cobbler,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37080,"Marie Callenders Peach Cobbler, 32 OZ",Marie Callender’S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37108,Classic Nuggets Plant-based Nuggets 68415,Field Roast,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37118,Classic Burger Buns,Sprouts,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37122,Hamburger Buns,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37131,Pepperoni Mini Pizza Bagels,Chef Gusto,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37145,Cheddar Cheese,Appleways,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37148,Ciabatta Rolls,Marketside,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37167,Crispsy Honey Chicken,Innovasian,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37172,Vainilla Cookies,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37173,Pierogi Potato & Cheese,Kasia'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37174,Morning Wrap,Cheesewich,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37177,French Blue Cheese Salad Kit,Fresh Express,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37187,Sesame Sticks,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37189,Minecraft Crunch Pak,Crunch Pak,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37192,Belgian Waffle Mix,The Fresh Market,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37193,Mission Flour Tortillas,Mission,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37209,Dinnerr Yeast Rolls,Sister Schubert'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37210,Dinnerr Yeast Rolls,Sister Schubert’S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37222,Starbucks Chocolatey Cookie Straws,Starbucks,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37223,Cheese TRIO Protein BOX,Starbucks,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37226,Curry Chicken Salad Wrap,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37231,Claim Jumper Blueberry Pie,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37232,"Claim Jumper Strawberry Rhubarb Pie, 37 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37233,"Claim Jumper Pumpkin Pie, 36 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37234,"Claim Jumper Lattice Peach Pie, 40 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37235,"Claim Jumper Lattice Cherry Pie Frozen Dessert, 40",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37236,"Claim Jumper Apple Crumb Cobbler Pie, 32 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37237,"Claim Jumper Blackberry Cobbler Pie, 32 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37238,"Claim Jumper Peach Cobbler, 32 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37239,"Claim Jumper Cherry Crunch Pie, 40 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37240,"Claim Jumper Lattice Apple Pie, 42 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37241,"Claim Jumper Blackberry Pie, 42 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37242,"Claim Jumper Dutch Apple Pie, 42 OZ",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37251,Yogurt Pretzels,Valued Naturals,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37252,Chocolate Flavoured Pretzels,Valued Naturals,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37258,Smokehpuse Turkey & White Cheddar,Sammi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37270,Savory Potstickers Chucken And Vegetable,Bibigo,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37271,Pizza Dough,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37276,Wheat Club,Country Hearth,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37291,Mac And Cheese,Simply Go,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37299,Cranberry Almond Thin Cookies,Thinaddictives,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37318,Roasted Garlic & Herb Stone Ground Wheat Crackers,Back To Natture,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37319,Stoneground Wheat Crackers,Back To Nature,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37331,Soft Country White Bakery Buns,Panera Bread,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37347,Pretzel Crackers Sea Salt,Pretzeled Snacks,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37348,Unbleached High Gluten Flour,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37352,Chocolate Lava Cake,Wild Fork,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37354,Shortbread Cookiu,Amazon Grocery,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37395,Dark Chocolate-covered Pretzel Pieces,Odds & Ends,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37460,Mini Naan Original,Stonefire,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37475,Peanut Butter Filled Pretzels,Wellsley Farms,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37482,Veg Mayonnaise,Dr.Oetker,US-style ingredient labeling: INS\d{3}
37495,Butter Dinnerr Roll,Costco,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37501,Roasted Vegetables,Wegmans,US brand detected: wegmans
37583,"96 Coated Trendy Sh.choco Butter 2""",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37584,"60 Coated Trendy Shell Square Choc 2.75""",,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37618,Impact Mints Watermelon Mints,Impact Mints,US-style ingredient labeling: INS\d{3}
37637,Honey Wheat Bread,Loven Fresh,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37639,Flour Tortillas Small-fajita,Pueblo,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37649,Crinkle Potato Wedges,Seasoned Choice,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37651,Waffle Fries,Seasons Choice,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37652,Crackers! Snack Select,Snack Selects,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37670,Beef Flavoured Ramen,Chef'S Cupboard,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37679,Chicken & Cheese Quesadillas,Casa Mamita,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37686,Hot Dog Buns,L'Oven Fresh,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37754,Asian Trail Mix,Southern Grove,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37756,Belmont Frozen Pie Crust,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37762,Deli Rolls,L'Oven Fresh,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37765,Original Wheat Crackers,Millville,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37767,Flour Tortilla,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37789,Apple Pie With Cinnamon,Bakeshop,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37799,Chicken Noodle Soup,Chefs Cupboard,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37808,Buttermilk Pancakes,Buttermilk,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
37858,Corn Flakes,Nestlé,US-style ingredient labeling: INS\d{3}
37861,Gold Honey Flakes,Nestlé,US-style ingredient labeling: INS\d{3}
37864,Super Crunch Cheese Ring,Super Crunch,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
37907,Dr Pepper,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
37958,Stimorol Fusion Gum Strawberry And Lime,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
38160,Sour Cream & Mild Chilli,Doritos,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
38190,Pancake & Waffle Complete Mix,Newland,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
38276,Piazza - Fresa,Colombina S.A,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
38294,Stimorol Gum Spearmint,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
38305,Cheese Cream Sandwich,ริทซ์,US-style ingredient labeling: INS\d{3}
38307,Cadburry Oreo Chocolate Coated,Mondelēz,US-style ingredient labeling: INS\d{3}
38309,Oreo Strawberry Creme,Oreo,US-style ingredient labeling: INS\d{3}
38455,Milk Carbonated Soft Drink,Lotte,US-style ingredient labeling: INS\d{3}
38470,Shake 'n Ice - Matcha Green Tea,Kofi,US-style ingredient labeling: INS\d{3}
38491,Oishi Green Tea Kyoho Grape Flavour With Nata De C,โออิชิ,US-style ingredient labeling: INS\d{3}
38592,Veg Mayonnaise,Dr. Oetker,US-style ingredient labeling: INS\d{3}
38593,Sandwich Spread Veg. Cucumber & Carrot,Dr.Oetker Funfoods,US-style ingredient labeling: INS\d{3}
38600,"Choco BAR ,choco Vanilla Stick",Dairy Day,US-style ingredient labeling: INS\d{3}
38609,Rusk Elaichi,Kanha,US-style ingredient labeling: INS\d{3}
38613,Peanut Butter,Veeba,US-style ingredient labeling: INS\d{3}
38617,Chapati Zero Maida,The Bakers Dozen,US-style ingredient labeling: INS\d{3}
38635,Butter Biscuits,Open Secrets,US-style ingredient labeling: INS\d{3}
38655,Premium Brown Bread,Mr Bakewell,US-style ingredient labeling: INS\d{3}
38656,Premium Burger Buns,Mr Bakewell,US-style ingredient labeling: INS\d{3}
38657,Hotdog Bun,Mr Bakewell,US-style ingredient labeling: INS\d{3}
38658,Premium Pav Bun,Mr Bakewell,US-style ingredient labeling: INS\d{3}
38660,Master Chow Instant Noodles,Master Chow,US-style ingredient labeling: INS\d{3}
38945,Honey Corn Flakes,Eatrite,US-style ingredient labeling: INS\d{3}
38952,"Long Grove Confectionery Co, Creamy White Pretzel ",Long Grove Confectionery Co.,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
38963,All-purpose Baking Mix,Roundy'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
