row,name,brand,reason
10906,Diet Coke No Caffeine,The Coca-Cola Company,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
10908,Coca Cola Zero Suger Zero Caffeine,Coca-Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
10909,Coca-cola Intergalactic,Coca Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
10910,Coca Cola Dreamworld,Coca-Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
10912,Diet Coke,Coke,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
10935,2 Minutes FROM BEAT TO EAT AND HEAT FOR AN Extra T,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
11007,Dairy Milk,Cadbury,US-style ingredient labeling: INS\d{3}
11017,Dairy Milk Honeycomb & Nuts,Cadbury,US-style ingredient labeling: INS\d{3}
11061,Mentos Gum Tropical Flavour,Mentos,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
11062,Pure Breath Fresh Fresh Mint,Mentos,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
11064,Mentos SOUR GUM Strawberry Flavour,Mentos,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
11068,Pepsi Max Cherry,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
11219,"Mountain Dew, Berry Spark (energised, No Sugar)",Mountain Dew,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
11231,Cadbury Chocolate Drink-instant Highlights,Cadbury,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
12563,Greek Style Light Strawberry Yoghurt,Milbona,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
12690,Greek Style Light Coconut & Vanilla Yogurt,Brooklea,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
15464,USN Cardcore,,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
15482,Belgian Choc,Null,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
16069,Graham Cracker Pie Crust,Baker'S Corner,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
16094,Medium Egg Noodles,Manischewitz,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
16133,Original Pancake & Waffle Mix By LIDL,Lidl,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
16328,Chocolate Chip Dunkers,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
16337,Cheddar Filled Pretzel Bites,Appetitos,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
17437,Optifit Cholesterol Drink,Aldi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17477,White Chocolate Yoghurt,Nestlé,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
