row,name,category
10677,Sour Cream & Onion Potato Chips,"plant-based-foods-and-beverages, plant-based-foods"
10738,Tribe - Protein Flapjack,"Protein Flapjack, en:protein-energy-bars"
10838,Scotch White Rolls,"plant-based-foods-and-beverages, plant-based-foods"
10839,White Farmhouse Loaf,"Exceptional-white-farmhouse-loaf, white bread"
11400,Honey Nut Corn Flakes,"plant-based-foods-and-beverages, plant-based-foods"
11451,8 Chunky Haddock Fillet Fish Fingers,"Haddock-fish-fingers, Hadrock fish fingers"
11498,Smoky Prosciutto And Cheese Rollitos,"Prosciutto-and-cheese, Prosciutto and cheese"
11554,Raspberry Ripple Soft Scoop,ice-cream-tubs
11621,Chargrilled Artichoke Antipasti,"plant-based-foods-and-beverages, plant-based-foods"
11628,Brioche Sesame Seed Buns,"plant-based-foods-and-beverages, plant-based-foods"
11766,Prawn Crackers,"plant-based-foods-and-beverages, plant-based-foods"
11795,Salted Pretzels,"plant-based-foods-and-beverages, plant-based-foods"
11983,Exceptional Large Sourdough Seeded Boule,"Sourdough-seeded-boule, Bread"
12068,Bradbury's,flavoured-potato-crisps
12150,5 Cinnamon & Raisin Bagels,"plant-based-foods-and-beverages, plant-based-foods"
12167,Naturel Crackers,"plantaardige-levensmiddelen-en-dranken, plantaardi"
12283,Gluten Free Rice Pops,"Gluten-free-rice-pops-breakfast-cereal, Gluten fre"
12301,"Chilli, Coriander & Soy Calamari Rings","Ready-to-eat-calamari, Mollusc"
12304,Feta & Caramelised Red Onion Pizza,"Feta-and-caramelised-red-onion-pizza, Ready made p"
12311,Collection Crafted White Sourdough,"Breads-sourdough, Breads-with-raisins61a"
12538,Lupilu Organic Chicken Casserole With Ri,"Baby foods, en:main-meals-for-babies"
12578,Chicken Jalfreizi,"Curry, en:meals-with-chicken"
12606,Gochujang Pulled Chicken,"Pulled chicken, en:meals-with-chicken"
12607,Lidl Chef Select Garden Vegetable Soup,"Lidl-garden-vegetable-soup, green score"
12616,Salted Caramel Greek Style Yogurt,greek-style-yogurts
12723,Greek Yogourt,greek-style-yogurts
12803,Vegetable Sushi Snack,"Meals, Sushis-and-makis"
12864,Parmesan & Garlic Twists,"plant-based-foods-and-beverages, plant-based-foods"
13060,Irresistible Luxury Fish Pie,meals-with-fish
13115,Mango & Passion Fruit,"Youghurt, en:non-dairy-desserts"
13150,Baked Beans,"plant-based-foods-and-beverages, plant-based-"
13154,Heinz Organic Cream Of Tomato Soup,"Tinned soup, en:cream-of-vegetable-soups"
13190,Beanz,baked-beans-in-tomato-sauce
13334,Pulled Ham Hock,"Ham-hock, Pulled-ham-hock"
13363,British Wiltshire Cured Honey Roast Ham ,"Honey-roast-ham, Honey-roast-ham"
13388,Celeriac Remoulade,celeriac-in-remoulade-sauce
13600,Nik Naks,puffed-salty-snacks-made-from-maize
13710,Devon Custard,custards-and-pastry-creams
13711,Deluxe Custard,"Desserts, en:custards-and-pastry-creams"
13748,Rustic Seeded Rolls,"plant-based-foods-and-beverages, plant-based-foods"
13777,Lemon And Raspberry,"Diluting juice, en:artificially-sweetened-beverage"
13976,Mash Potato,"Frozen-mashed-potato, Mashed potatoes"
13998,Rice Crackles,"Gluten free cereals, Gluten-free-cereals"
14012,Rye Sourdough Crackers,"biscuits-and-crackers, da:crackers"
14013,Scottish Shortbread Selection,"All-butter-shortbread, Shortbread biscuit with but"
14244,Salmon Poke Bowl,"Poke bowls, en:sushi-and-maki"
14262,Berry Set Go,Blend-of-fruit-and-veg-juices-with-extracts-and-in
14406,Garlic & Ginger Paste,"Garlic-ginger-paste, garlic and ginger paste"
14524,Straight Cut Oven Chips,"Oven chips, en:frozen-fried-potatoes"
14538,Tesco Wafer Thin Roast Chicken Slices 20,cooked-chicken-breast-slices
14586,Pitted Green Olives,green-pitted-olives
14742,Rye Sourdough Crackers,"plant-based-foods-and-beverages, plant-based-foods"
14763,4 Hot Cross Buns,"plant-based-foods-and-beverages, plant-based-foods"
14874,"Salmon, Hoisin & Cucumber Mini Maki","Meals, Sushis-and-makis"
14972,Pan Fry Beef Steaks With A Peppercorn Sa,"Beef-steaks-in-peppercorn-sauce, Beef Steaks in Pe"
15125,Sour Cream & Onion Flavour Popped Potato,"plant-based-foods-and-beverages, plant-based-foods"
15283,Exceptional Superseeded Sliced Loaf,"Seeded bread, en:multigrain-sliced-breads"
15291,Hand Cooked Sea Salted Crispss,"Sea-salted-crisps, Crisps"
15317,Mexican Style Vegetable Mix,"Mexican-stir-fry, Vegetables"
15446,Tempura Chicken Steaks,"Frozen-chicken-steaks, frozen breaded chicken"
15490,Kat 4 Finger Milk Chocolate Bar 4 Pack,chocolate-biscuity-bars
15537,Hot Chocolate,"Beverages, en:instant-chocolate-powders"
15591,Mini Snow Balls Imp,"Fair trade Foundation, Solid-milk-chocolate-b"
15657,Nature Valley Crunchy Dipped,"Nature-valley-crunchy-dipped, Nature valley crunch"
15761,Navrattan,"Ready-to-eat-savouries, Snacks"
15957,Sweet Chilli Sauce,sweet-and-sour-sauces
16011,Organic Semi Skimmed Milk,semi-skimmed-milks
16075,Super Seeded Oatcakes,"oatcakes, super-seeded-oatcakes"
16101,Artisan Rye & Buckwheat Boule,"Artisan-rye-sourdough-and-buckwheat-boule, Rye & s"
16304,Long Grain White Rice,long-grain-rices
16334,Sardines,"Sardines in hot sauce, en:sardines-in-oil"
16337,Cheddar Filled Pretzel Bites,"plant-based-foods-and-beverages, plant-based-foods"
16339,Garden Vegetable With Sweet Basil Semi S,"Semi-soft-cheese, cheese"
16452,Pasta,"Dried-penne-pasta, Dry pastas"
16496,GF Cod Goujons,"Frozen-cod-goujons, Whitby Seafoods"
16538,Gadsbys 6pk Cob,"plant-based-foods-and-beverages, plant-based-foods"
16731,Active Oats+ Raspberry Nut Crunch,"Gluten free oats, Oats-with-live-culure"
16735,Lemon Drizzle Protein Flapjack,"Tribe-protein-flapjack-lemon-drizzle, Protein bars"
16783,Hot Smoked Trout Fillets,"Hot-smoked-fillets, Rainbow-trout"
16845,Yellow Lentil Curry,"Meals, en:plant-based-meals"
16884,Stroopwafels,"Snacks, en:caramel-stuffed-wafers"
16915,Drinking Chocolate,instant-chocolate-powders
17407,Steak Cut Chips,frozen-fried-potatoes
17438,Keizerbroodjes,"plant-based-foods-and-beverages, plant-based-foods"
17466,Mango & Passion Fruit High Protein Yogur,"Low-fat-strained-yogurt, Low-fat yogurts"
17515,Lightest Creamy Fat Cheese Spread,"Low fat cheese spread, Low-fat-cheese-spread"
17749,Cheese Feast Classic Crust Pizza,"meals, pizzas-pies-and-quiches"
17753,Katsu Curry Rice Pot,"Instant-long-grain-rice-pot, Katsu-curry-rice-pot"
17761,Croque Monsieur With Emmental Cheese,"Sandwiches, en:toasted-ham-sandwich-topped-with-gr"
17802,Bao Buns Jackfruit,"bao buns, Kant-en-klaarmaaltijden (diepvries)"
17817,Pepsi Max,diet-cola-soft-drink
17825,Chicken Instant Noodles,"dried-products, dried-products-to-be-rehydrat"
17860,Milk Chocolate Peanuts,chocolate-coated-peanuts
