row,name,category,pattern_matched
24137,8690504113249,Bisküvi,\bBisküvi\b
35139,%80 Bitter Çikolata,"Atıştırmalıklar, en:Sweet snacks",\bÇikolata\b
59005,Tambol Ekstra Bol Sütlü Çikolata,Milk chocolate bar,\bÇikolata\b
