row,name,category,pattern_matched
40028,Nairn's | Snackers - Cheese,"botanas, snacks-salados",\bBotanas\b
40383,Milk Chocolate Extract,"Botanas, Snacks dulces",\bBotanas\b
41032,Doritos Goût Nacho Cheese,"Botanas, Snacks salados",\bBotanas\b
41332,Brown Rice Chips,"Botanas, Snacks salados",\bBotanas\b
41631,Protein Cookie White Chocolate Almond,"Botanas, Snacks dulces",\bBotanas\b
41823,Jacobs Krackawheat,"botanas, snacks-salados",\bBotanas\b
42222,Lemon Curd Biscuits,"Botanas, Snacks dulces",\bBotanas\b
42385,"Walnut, Honey And Extra Virgin Olive Oil Crackers","botanas, snacks-salados",\bBotanas\b
42683,Croissant Chocolate Max,"Botanas, Snacks dulces",\bBotanas\b
42947,Pintarolas,"Botanas, Snacks dulces",\bBotanas\b
43119,Coconut,"Botanas, Snacks dulces",\bBotanas\b
43176,Crush Protein Bar Chocolate Peanut Butter,"Botanas, Snacks dulces",\bBotanas\b
43177,Crush Protein Bar Cookies & Cream,"Botanas, Snacks dulces",\bBotanas\b
43423,Swiss Milk Chocolate Almond,"Botanas, Snacks dulces",\bBotanas\b
43425,Chocolate Leche,"Botanas, Snacks dulces",\bBotanas\b
43428,Exta-fin,"Botanas, Snacks dulces",\bBotanas\b
43432,Swiss Herb Candy,"Botanas, Snacks dulces",\bBotanas\b
43438,Crunchy Protein Peanut-caramel,"Botanas, Snacks dulces",\bBotanas\b
43496,Toblerone White,"Botanas, Snacks dulces",\bBotanas\b
43504,Toblerone Chocolate Bar Milk,"Botanas, Snacks dulces",\bBotanas\b
43531,Belvita Original Breakfast,"Botanas, Snacks dulces",\bBotanas\b
43642,Misura Dolcesenza Biscuits Prepared With Yogurt,"Botanas, Snacks dulces",\bBotanas\b
43660,Chupa Chups - Big Babol -sugar Free - 16 Big Pieces,"Botanas, Snacks dulces",\bBotanas\b
43699,Cereal Bar,"Botanas, Snacks dulces",\bBotanas\b
43701,Crackers,"Botanas, Snacks salados",\bBotanas\b
43734,Crispsy Cocoa Wafer Bites ON Milky AND Cocoa Creams WITH A S,"Botanas, Snacks dulces",\bBotanas\b
43749,Trancetto Cacao,"Botanas, Snacks dulces",\bBotanas\b
43752,Gran Cereale Cioccolato,"Botanas, Snacks dulces",\bBotanas\b
43757,Kinder Cards Fergulf,"Botanas, Snacks dulces",\bBotanas\b
43792,Sweet & Salty Nut,"Botanas, Snacks dulces",\bBotanas\b
43811,Doritos Tex-mex,"Botanas, Snacks salados",\bBotanas\b
43814,"Caramel Milk Chocolate Sticks, Caramel","Botanas, Snacks dulces",\bBotanas\b
43819,Diet-fibra,"Botanas, Snacks dulces",\bBotanas\b
43822,Sugar Free,"Botanas, Snacks dulces",\bBotanas\b
43826,Turrón Coco Thai,"Botanas, Snacks dulces",\bBotanas\b
43830,Gourmet Red Liquorice,"Botanas, Snacks dulces",\bBotanas\b
43833,Chocolate Negro Almendras Enteras,"Botanas, Snacks dulces",\bBotanas\b
43834,Chocolate Negro Avellanas Enteras,"Botanas, Snacks dulces",\bBotanas\b
43841,Risketos Snack Sin Gluten,"Botanas, Snacks salados",\bBotanas\b
43845,Tigretón,"Botanas, Postres",\bBotanas\b
43856,Watch,"Botanas, Snacks dulces",\bBotanas\b
43857,Berlina Glacé,"Botanas, Snacks dulces",\bBotanas\b
43865,Galletas Tosta Rica Cuétara,"Botanas, Snacks dulces",\bBotanas\b
43879,Chocolate Negro Intense Cocoa,"Botanas, Snacks dulces",\bBotanas\b
43889,Choco Galleta,"Botanas, Snacks dulces",\bBotanas\b
43890,Barritas,"Botanas, Snacks dulces",\bBotanas\b
43891,Galletas María Dorada,"Botanas, Snacks dulces",\bBotanas\b
43894,Galletas Mini Cookies,"Botanas, Snacks dulces",\bBotanas\b
43900,Diver Xuxes,"Botanas, Snacks dulces",\bBotanas\b
43901,Palmeritas,"Botanas, Snacks dulces",\bBotanas\b
44162,Fibra Trigo,"Botanas, Snacks dulces",\bBotanas\b
44207,Sour Infernals Assorted Flavour Sour Chewy Sweets,"Botanas, Snacks dulces",\bBotanas\b
44409,Green Chutney Style,"Botanas, Snacks salados",\bBotanas\b
46341,"Avocado Crispss, Guacamole","Botanas, Snacks salados",\bBotanas\b
46705,Morro Frito,"Botanas, Snacks salados",\bBotanas\b
47465,Biscoff Crunchy Pâte À Tartiner,"Botanas, Snacks dulces",\bBotanas\b
47563,Juniors,"Botanas, Snacks dulces",\bBotanas\b
47653,Excellence Cocoa Dark Chocolate,"Botanas, Snacks dulces",\bBotanas\b
47654,Dark Chocolate With Fleur De Sel Sea Salt Crystals,"Botanas, Snacks dulces",\bBotanas\b
48711,"Godiva, Chocolateier, Cacao Dark Chocolate, Almond","Botanas, Snacks dulces",\bBotanas\b
49178,Plantain Chips,Botanas,\bBotanas\b
53759,"Nirvana, Dark Chocolate","Botanas, Snacks dulces",\bBotanas\b
53761,Dark Chocolate With Sea Salt And Caramel,"Botanas, Snacks dulces",\bBotanas\b
53762,"Nirvana Chocolatees, Dark Chocolate, Pistachios, Almonds And","Botanas, Snacks dulces",\bBotanas\b
54714,The Complete Cookie Double Chocolate,"Botanas, Snacks dulces",\bBotanas\b
54903,"Vosges, Super Dark, Cacao Dark Chocolate Bar, Pomegranate & ","Botanas, Snacks dulces",\bBotanas\b
56820,Spiced Biscuits,"Botanas, Snacks dulces",\bBotanas\b
56827,Cent Wafers,"Botanas, Snacks dulces",\bBotanas\b
57112,Dark Chocolate,"Botanas, Snacks dulces",\bBotanas\b
57360,Milk Chocolate With Almonds,"Botanas, Snacks dulces",\bBotanas\b
57458,Mogli Cocoa Biscuits,"Botanas, Snacks dulces",\bBotanas\b
57627,Galaxy Chocolate,"Botanas, Snacks dulces",\bBotanas\b
58594,Lind,"Botanas, Snacks dulces",\bBotanas\b
58667,Stimorol Bottle Wild Cherry 70 Stuks,"Botanas, Snacks dulces",\bBotanas\b
58679,Nucita,"Botanas, Snacks dulces",\bBotanas\b
58680,Tosh Artesanal Arándanos Y Açaí,"Botanas, Snacks dulces",\bBotanas\b
58683,Dark Chocolate Bar,"Botanas, Snacks dulces",\bBotanas\b
58731,Moulage Kinder Surprise,"Botanas, Snacks dulces",\bBotanas\b
58784,Wafers With Cocoa,"Botanas, Snacks dulces",\bBotanas\b
58788,Salted Caramel Cookies,"Biscuits and crackers, Botanas",\bBotanas\b
58862,Dark Chocolate Cacao,"Botanas, Snacks dulces",\bBotanas\b
